multiply 75057.55 69494.79| Result = 5216108675.164499
divide 59797.83 78518.3| Result = 0.761578
minus 26586.07 -61659.63| Result = 88245.700000
plus -93959.53 62138.26| Result = -31821.270000
divide -85286.01 -92954.06| Result = 0.917507
multiply -44874.77 40144.16| Result = 3414648728.321300
divide 51553.82 62852.48| Result = 1.581814
minus -38724.75 -49338.25| Result = 10613.500000
multiply 50653.14 35382.88| Result = 1792342219.943200
minus 7115.14 -1900.52| Result = -22805.610000
add_sq 1713.28 62208.02| Result = 3872773080.678800
add_sq 41754.27 -80975.48| Result = 8300447425.380806
plus 8856.53 11355.11| Result = 20213.221814
add_sq 35890.98 -97704.9| Result = 12626752149.313599
divide 56019.43 78645.13| Result = 10614.212306
divide -78238.07 -52749.77| Result = -22804.126807
Error in file C:\Users\nikze\source\repos\multithreadedFileReader\multithreadedFileReaderApplication\lists\in_3.txt: Division on zero
multiply -85562.59 51397.65| Result = 3902731371.467306
add_sq 31119.56 -21154.59| Result = 5288716773.340500
divide 88124.7 70979.09| Result = 12626752150.555157
plus 37102.7 -15103.1| Result = 42212.821814
plus 43288.92 4375.69| Result = 58278.822306
divide -99186.57 -25808.26| Result = -22800.283597
divide -63455.78 82048.74| Result = 5288716772.567108
add_sq -58858.85 -29097.53| Result = 4311072688.245214
sq_add 86558.27 14245.15| Result = 14064060855.163706
multiply -19874.69 23383.26| Result = -464676764.867094
add_sq 91785.81 -2654.51| Result = 8431658540.412602
add_sq 27261.99 -40943.33| Result = 7708289142.816109
sq_add 98542.88 3327.96| Result = 14688740730.550816
minus 47522.11 -16868.53| Result = 3414713118.961299
multiply -87265.77 53099.37| Result = 9430303445.598804
sq_add 71407.23 -6164.29| Result = 3791964454.976506
divide -34585.62 -40563.4| Result = 12626752151.407787
multiply -59395.56 -83726.25| Result = 13404626045.862602
minus -17153.98 50662.26| Result = 14688672914.310816
minus 7980.66 -30831.72| Result = 3414751931.341300
multiply -13169.67 48486.83| Result = 8791747895.152704
minus 68969.9 -23296.53| Result = 12626844417.837788
minus 20359.55 38640.87| Result = 13404607764.542603
plus 37107.89 -96063.91| Result = 14688613958.290815
sq_add 75356.5 8312.52| Result = 10415256839.101700
divide -82717.22 -81357.11| Result = 3791964455.993224
add_sq -80280.64 -65922.8| Result = 23417641136.487389
minus -32358.87 22479.42| Result = 8791693056.862703
sq_add -17565.78 43859.73| Result = 14095979571.145103
plus -85302.15 -66698.99| Result = 14688461957.150816
sq_add -34618.38 67752.87| Result = 11513151266.661800
divide 70105.27 92305.91| Result = 3791964456.752712
plus 61254.38 -63968.4| Result = 23417638422.467388
minus 98327.77 -15871.91| Result = 8791807256.542704
plus 83837.95 45375.27| Result = 129213.220000
sq_add 10763.71 98585.87| Result = 26053310217.321503
add_sq -81669.06 14383.1| Result = 21565170884.044415
minus -16539.88 80069.29| Result = 11513054657.491800
sq_add -83594.93 74863.94| Result = 3868194643.132812
minus 29626.3 -27822.31| Result = 23417695871.077389
multiply 50186.7 -15353.5| Result = 8021265758.092704
divide 30708.99 -70277.08| Result = 129212.783030
minus -75878.0 -55093.02| Result = 26053289432.341503
divide -75531.92 -68163.19| Result = 21565170885.152519
minus -35729.76 44564.46| Result = 11512974363.271801
divide -58784.48 -94479.38| Result = 3868194643.755006
divide 13779.84 -84109.81| Result = 23417695870.913559
add_sq 24086.72 23787.13| Result = 9167263392.088005
multiply -98308.93 -65127.91| Result = 32455944577.577805
sq_add 95030.45 -62237.35| Result = 1075516620.393030
minus 73837.59 78735.58| Result = 21565165987.162518
add_sq 34760.6 82800.96| Result = 19577272652.553402
plus -80916.68 33044.13| Result = 9167215519.538006
plus 95750.13 28216.94| Result = 23417819837.983559
minus 19774.08 -52591.71| Result = 3868267009.545006
add_sq 1059.39 -38169.3| Result = 9166306912.478209
add_sq -76392.11 -29014.12| Result = 39133518207.204308
multiply -74742.96 51590.53| Result = -2780512299.775771
divide 12195.52 99533.1| Result = 21565165987.285046
divide 71971.23 -74711.33| Result = 9167215518.574682
multiply 60482.81 -54382.2| Result = 16288084382.571402
plus 25227.45 -72940.44| Result = 23417772124.993557
sq_add 43108.54 78051.37| Result = 18547990800.753105
divide 49420.29 10378.31| Result = 39133518211.966187
sq_add 65088.97 77552.39| Result = 17566045282.873825
plus -63638.43 14767.48| Result = 21565117116.335045
divide 81967.56 -60797.95| Result = 9167215517.226486
add_sq -51003.1 54019.07| Result = 21807460515.846302
multiply -77177.83 53905.6| Result = 34973200979.118187
sq_add 38826.05 -84434.04| Result = 20628079552.593204
plus 67801.5 68248.94| Result = 23417908175.433556
sq_add 36302.19 -44681.24| Result = 17636253761.776325
plus -47996.83 -45730.91| Result = 21565023388.595043
multiply 25220.96 -99962.17| Result = 6646073626.143286
add_sq -85569.53 70505.68| Result = 34100655892.529602
multiply 12401.87 -30033.85| Result = 34600725075.818687
divide -52320.23 -67668.85| Result = 23417908176.206738
divide 6728.27 24128.65| Result = 17636253762.055176
multiply 44628.62 -53770.27| Result = 18228386605.465805
add_sq -6175.84 -77064.54| Result = 27542107713.712242
plus 56716.21 17475.85| Result = 34100730084.589603
plus -27019.35 70001.91| Result = 9166349895.038208
plus 65539.54 73246.27| Result = 34600863861.628685
minus -39103.15 -40996.16| Result = 23417910069.216736
minus 91254.46 47959.31| Result = 17636297057.205177
plus -34738.76 -88411.56| Result = 6645950475.823286
divide 4890.33 63190.37| Result = 18228386605.543194
minus 93958.68 -99089.81| Result = 34100923133.079605
add_sq 95489.56 82767.96| Result = 25135141166.593407
multiply -70853.42 -12244.23| Result = 35468409432.395287
multiply -18506.5 -26360.51| Result = 18124137835.520176
sq_add 75256.17 28195.72| Result = 34120203613.788834
sq_add 32916.67 89764.62| Result = 42592806629.776337
plus -85525.04 -30568.15| Result = 6645834382.633286
minus -56321.59 -85102.23| Result = 34100951913.719604
multiply -73154.8 28312.47| Result = 23063948086.237408
multiply 59743.43 18365.61| Result = 36565633967.837585
multiply 23349.6 -27429.99| Result = 17483658541.016174
plus 58270.6 2998.12| Result = 34120264882.508835
plus -26745.3 -53377.31| Result = 6645754260.023287
plus 87137.52 59269.69| Result = 34101098320.929604
multiply 41285.1 35096.87| Result = 44041784417.413338
divide 30193.34 -99116.1| Result = 23063948085.932781
multiply 8568.28 67706.62| Result = 18808515883.556793
multiply 49001.8 21523.18| Result = 35174939444.232834
plus 75106.28 46004.91| Result = 17483779652.206173
plus 62783.94 -42379.49| Result = 34101118725.379604
multiply -50105.3 14646.14| Result = 43307935178.871338
sq_add -99397.56 48653.32| Result = 21383493776.734394
divide -53136.15 -4804.6| Result = 35174939455.292267
add_sq -55263.45 69888.01| Result = 31002330933.595383
sq_add -93778.61 -90486.97| Result = 40599558232.759689
sq_add -34354.34 24972.97| Result = 35262949558.369164
divide -10105.32 -55139.81| Result = 43307935179.054604
sq_add -62677.66 82651.49| Result = 21782447661.603294
plus -40162.18 2644.29| Result = 40599520714.869690
minus 6911.34 -98690.62| Result = 31002436535.555382
add_sq -81036.15 29774.69| Result = 24937169423.624771
divide -73553.79 22050.81| Result = 35262949555.033516
multiply -50481.72 -49572.79| Result = 45810454883.453400
divide 49856.48 67628.91| Result = 21782447662.340500
multiply 46992.72 85426.31| Result = 44613935381.332893
sq_add 25229.36 -21293.88| Result = 36581121970.667984
divide 84827.78 -6181.91| Result = 31002436521.833447
plus -95337.56 4849.43| Result = 24937078935.494770
multiply -68398.16 56233.53| Result = 31416679572.728714
add_sq -65735.03 -51653.42| Result = 52799624850.250702
divide 35095.06 46568.63| Result = 21782447663.094120
minus -26764.35 8706.76| Result = 44613899910.222893
multiply 72614.09 -16059.34| Result = 32934984365.279003
minus 61206.0 75716.82| Result = 24937064424.674770
sq_add 55394.26 80202.63| Result = 49388953099.505554
multiply -26271.33 -78758.55| Result = 33485771430.100216
multiply -22963.77 -25891.41| Result = 53394189234.466400
divide 98505.12 -79443.07| Result = 36581121969.428040
add_sq -29442.71 4452.07| Result = 45500594009.651894
sq_add 36163.9 77493.34| Result = 45852952569.696602
multiply -32655.53 -53246.4| Result = 26675853837.266769
minus 70519.45 24573.33| Result = 49388999045.625557
add_sq 42529.61 -65348.92| Result = 39565020502.018715
add_sq 41503.26 3722.75| Result = 55130568692.656502
minus -4127.82 28304.82| Result = 36581089536.788040
minus -67569.7 -55220.83| Result = 45500581660.781891
sq_add 4531.66 92297.28| Result = 36051697458.790367
multiply 18485.3 29585.09| Result = 49935888309.802559
sq_add 39203.96 58226.68| Result = 49057750112.828316
plus 96056.0 -66363.59| Result = 55130598385.066505
multiply 13363.11 77752.66| Result = 37620106885.160637
minus 19030.41 -42825.32| Result = 21782509518.824120
sq_add -32603.13 -61818.44| Result = 54416014542.046791
sq_add -52830.36 1861.21| Result = 38649551710.512871
sq_add 18550.99 9148.7| Result = 46620225395.792702
divide -4283.37 35346.17| Result = 49057750112.707130
plus 7796.8 90557.18| Result = 55130696739.046509
divide 43839.23 38009.41| Result = 37620106886.314018
plus -88448.11 -81846.83| Result = 54415844247.106789
add_sq 75898.43 66549.69| Result = 59247183028.268127
minus -69956.07 20226.21| Result = 49935798127.522560
multiply -83763.56 -94863.24| Result = 46595634406.047272
sq_add 93129.79 -1632.97| Result = 63502364809.158905
plus 30389.73 13734.04| Result = 37620151010.084015
sq_add -89516.28 -64287.07| Result = 78071314718.329285
divide -50377.89 19482.89| Result = 49935798124.936813
add_sq 28447.55 74980.88| Result = 65678578494.845032
divide -10811.11 30903.43| Result = 46595634405.697433
multiply -43456.02 70057.33| Result = 60457952075.532303
add_sq -75958.12 24486.15| Result = 43989358545.840912
sq_add -42124.17 -23536.55| Result = 82382644869.247681
plus 72888.42 22719.27| Result = 49935893732.626816
multiply -8381.59 23606.07| Result = 65480722094.593735
plus 1621.07 57390.82| Result = 46595693417.587433
add_sq -91834.59 -66937.55| Result = 73372179596.002899
